,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
284,2006,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,AUS,Australia,81,"[25.0, 0.0]","[35.0, -6.0]","[133.0, -27.0]"
285,2006,COD,Dem. Rep. of the Congo,UGA,Uganda,FIN,Finland,8,"[25.0, 0.0]","[32.0, 1.0]","[26.0, 64.0]"
286,2006,COD,Dem. Rep. of the Congo,KEN,Kenya,NLD,Netherlands,30,"[25.0, 0.0]","[38.0, 1.0]","[5.75, 52.5]"
287,2006,SDN,Sudan,UGA,Uganda,NOR,Norway,7,"[30.0, 15.0]","[32.0, 1.0]","[10.0, 62.0]"
288,2006,COD,Dem. Rep. of the Congo,ETH,Ethiopia,CAN,Canada,35,"[25.0, 0.0]","[38.0, 8.0]","[-95.0, 60.0]"
289,2006,COD,Dem. Rep. of the Congo,COG,Congo,USA,United States of America,50,"[25.0, 0.0]","[15.0, -1.0]","[-97.0, 38.0]"
290,2006,COD,Dem. Rep. of the Congo,RWA,Rwanda,SWE,Sweden,26,"[25.0, 0.0]","[30.0, -2.0]","[15.0, 62.0]"
291,2006,COD,Dem. Rep. of the Congo,COG,Congo,NZL,New Zealand,8,"[25.0, 0.0]","[15.0, -1.0]","[174.0, -41.0]"
292,2006,SOM,Somalia,TZA,United Rep. of Tanzania,USA,United States of America,36,"[49.0, 10.0]","[35.0, -6.0]","[-97.0, 38.0]"
293,2006,SDN,Sudan,ETH,Ethiopia,CAN,Canada,78,"[30.0, 15.0]","[38.0, 8.0]","[-95.0, 60.0]"
294,2006,COD,Dem. Rep. of the Congo,TZA,United Rep. of Tanzania,CAN,Canada,10,"[25.0, 0.0]","[35.0, -6.0]","[-95.0, 60.0]"
295,2006,COD,Dem. Rep. of the Congo,BDI,Burundi,NOR,Norway,16,"[25.0, 0.0]","[30.0, -3.5]","[10.0, 62.0]"
296,2006,SDN,Sudan,UGA,Uganda,DNK,Denmark,39,"[30.0, 15.0]","[32.0, 1.0]","[10.0, 56.0]"
