Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2006,AFG,Afghanistan,TKM,Turkmenistan,USA,United States of America,2
2006,MMR,Myanmar,IND,India,AUS,Australia,265
2006,MMR,Myanmar,THA,Thailand,FIN,Finland,427
2006,SOM,Somalia,THA,Thailand,SWE,Sweden,3
2006,ERI,Eritrea,MYS,Malaysia,USA,United States of America,1
2006,MMR,Myanmar,THA,Thailand,AUS,Australia,2613
2006,MMR,Myanmar,IND,India,CAN,Canada,35
2006,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),NZL,New Zealand,3
2006,IRQ,Iraq,NRU,Nauru,NLD,Netherlands,2
2006,AFG,Afghanistan,PAK,Pakistan,CAN,Canada,23
2006,SOM,Somalia,PAK,Pakistan,USA,United States of America,1
2006,MMR,Myanmar,CHN,China,USA,United States of America,1
2006,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),SWE,Sweden,161
2006,AFG,Afghanistan,IDN,Indonesia,AUS,Australia,70
2006,SDN,Sudan,THA,Thailand,FIN,Finland,2
2006,AFG,Afghanistan,TJK,Tajikistan,SWE,Sweden,7
2006,IRQ,Iraq,MYS,Malaysia,USA,United States of America,2
2006,SOM,Somalia,IDN,Indonesia,CAN,Canada,9
2006,AFG,Afghanistan,THA,Thailand,USA,United States of America,2
2006,AFG,Afghanistan,IND,India,NOR,Norway,1
2006,IRQ,Iraq,KGZ,Kyrgyzstan,NZL,New Zealand,4
2006,COD,Dem. Rep. of the Congo,THA,Thailand,NLD,Netherlands,3
2006,COD,Dem. Rep. of the Congo,THA,Thailand,CAN,Canada,16
2006,COD,Dem. Rep. of the Congo,HKG,"China, Hong Kong SAR",USA,United States of America,2
2006,IRQ,Iraq,IRN,Iran (Islamic Rep. of),SWE,Sweden,29
2006,IRQ,Iraq,IDN,Indonesia,AUS,Australia,144
2006,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),CAN,Canada,93
2006,AFG,Afghanistan,TKM,Turkmenistan,SWE,Sweden,55
2006,MMR,Myanmar,MYS,Malaysia,USA,United States of America,1805
2006,COD,Dem. Rep. of the Congo,THA,Thailand,USA,United States of America,1
2006,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),NOR,Norway,3
2006,IRQ,Iraq,MYS,Malaysia,NZL,New Zealand,2
2006,IRN,Iran (Islamic Rep. of),THA,Thailand,NLD,Netherlands,2
2006,MMR,Myanmar,THA,Thailand,CAN,Canada,1938
2006,ERI,Eritrea,HKG,"China, Hong Kong SAR",USA,United States of America,1
2006,AFG,Afghanistan,MYS,Malaysia,SWE,Sweden,4
2006,AFG,Afghanistan,IRN,Iran (Islamic Rep. of),AUS,Australia,559
2006,IRQ,Iraq,IRN,Iran (Islamic Rep. of),CAN,Canada,6
2006,SOM,Somalia,MYS,Malaysia,USA,United States of America,7
2006,IRQ,Iraq,NRU,Nauru,IRL,Ireland,2
2006,IRN,Iran (Islamic Rep. of),THA,Thailand,USA,United States of America,3
2006,IRQ,Iraq,KGZ,Kyrgyzstan,NOR,Norway,4
2006,MMR,Myanmar,MYS,Malaysia,NZL,New Zealand,170
2006,IRQ,Iraq,THA,Thailand,NLD,Netherlands,5
2006,SOM,Somalia,THA,Thailand,CAN,Canada,4
2007,IRQ,Iraq,MYS,Malaysia,NOR,Norway,32
2007,AFG,Afghanistan,KGZ,Kyrgyzstan,NZL,New Zealand,6
2007,IRN,Iran (Islamic Rep. of),IND,India,CAN,Canada,5
2007,ERI,Eritrea,HKG,"China, Hong Kong SAR",USA,United States of America,1
2007,COD,Dem. Rep. of the Congo,THA,Thailand,FIN,Finland,5
2007,AFG,Afghanistan,IND,India,SWE,Sweden,9
2007,AFG,Afghanistan,PAK,Pakistan,CAN,Canada,89
2007,IRN,Iran (Islamic Rep. of),CHN,China,IRL,Ireland,7
2007,SOM,Somalia,PAK,Pakistan,AUS,Australia,6
2007,AFG,Afghanistan,KGZ,Kyrgyzstan,USA,United States of America,1
2007,AFG,Afghanistan,IDN,Indonesia,AUS,Australia,2
2007,IRN,Iran (Islamic Rep. of),THA,Thailand,USA,United States of America,1
2007,SOM,Somalia,HKG,"China, Hong Kong SAR",USA,United States of America,3
2007,MMR,Myanmar,MYS,Malaysia,NOR,Norway,270
2007,AFG,Afghanistan,MYS,Malaysia,NZL,New Zealand,6
2007,MMR,Myanmar,IND,India,CAN,Canada,90
2007,IRQ,Iraq,THA,Thailand,SWE,Sweden,4
2007,IRN,Iran (Islamic Rep. of),THA,Thailand,FIN,Finland,3
