Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2013,IRN,Iran (Islamic Rep. of),GEO,Georgia,DEU,Germany,1
2013,SOM,Somalia,TUR,Turkey,SWE,Sweden,2
2013,SYR,Syrian Arab Rep.,TUR,Turkey,AUS,Australia,2
2013,SYR,Syrian Arab Rep.,MLT,Malta,USA,United States of America,4
2013,IRQ,Iraq,TUR,Turkey,ROU,Romania,82
2013,SYR,Syrian Arab Rep.,TUR,Turkey,NLD,Netherlands,7
2013,COD,Dem. Rep. of the Congo,UKR,Ukraine,CAN,Canada,6
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,DEU,Germany,146
2013,SYR,Syrian Arab Rep.,TUR,Turkey,SWE,Sweden,27
2013,AFG,Afghanistan,TUR,Turkey,PRT,Portugal,4
2013,AFG,Afghanistan,RUS,Russian Federation,USA,United States of America,24
2013,IRN,Iran (Islamic Rep. of),UKR,Ukraine,CAN,Canada,4
2013,IRQ,Iraq,TUR,Turkey,DEU,Germany,251
2013,SDN,Sudan,RUS,Russian Federation,FRA,France,1
2013,ERI,Eritrea,RUS,Russian Federation,USA,United States of America,1
2013,IRN,Iran (Islamic Rep. of),GEO,Georgia,BEL,Belgium,1
2013,AFG,Afghanistan,RUS,Russian Federation,CAN,Canada,100
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,PRT,Portugal,11
2013,SYR,Syrian Arab Rep.,TUR,Turkey,DEU,Germany,2
2013,AFG,Afghanistan,TUR,Turkey,FRA,France,5
2013,AFG,Afghanistan,TUR,Turkey,USA,United States of America,249
2013,AFG,Afghanistan,RUS,Russian Federation,BEL,Belgium,1
2013,COD,Dem. Rep. of the Congo,RUS,Russian Federation,CAN,Canada,1
2013,IRQ,Iraq,TUR,Turkey,PRT,Portugal,6
2013,AFG,Afghanistan,UKR,Ukraine,DEU,Germany,1
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,FRA,France,4
2013,COD,Dem. Rep. of the Congo,TUR,Turkey,USA,United States of America,8
2013,IRQ,Iraq,RUS,Russian Federation,NOR,Norway,1
2013,IRQ,Iraq,RUS,Russian Federation,CAN,Canada,2
2013,SOM,Somalia,TUR,Turkey,PRT,Portugal,3
2013,AFG,Afghanistan,AZE,Azerbaijan,USA,United States of America,31
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,2
2013,ERI,Eritrea,TUR,Turkey,USA,United States of America,4
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,NOR,Norway,10
2013,AFG,Afghanistan,RUS,Russian Federation,DNK,Denmark,1
2013,AFG,Afghanistan,TUR,Turkey,CAN,Canada,17
2013,IRN,Iran (Islamic Rep. of),AZE,Azerbaijan,USA,United States of America,3
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,FIN,Finland,156
2013,IRQ,Iraq,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,2
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,USA,United States of America,1083
2013,SOM,Somalia,UKR,Ukraine,NOR,Norway,2
2013,IRN,Iran (Islamic Rep. of),RUS,Russian Federation,DNK,Denmark,1
2013,IRN,Iran (Islamic Rep. of),TUR,Turkey,CAN,Canada,785
2013,AFG,Afghanistan,RUS,Russian Federation,SWE,Sweden,1
2013,SYR,Syrian Arab Rep.,AZE,Azerbaijan,USA,United States of America,5
2013,AFG,Afghanistan,RUS,Russian Federation,FIN,Finland,1
2013,IRQ,Iraq,TUR,Turkey,FIN,Finland,18
2013,SOM,Somalia,TUR,Turkey,GBR,United Kingdom of Great Britain and Northern Ireland,7
2013,IRQ,Iraq,TUR,Turkey,USA,United States of America,5220
2013,SOM,Somalia,TUR,Turkey,DNK,Denmark,3
2013,IRQ,Iraq,TUR,Turkey,CAN,Canada,839
2014,IRN,Iran (Islamic Rep. of),RUS,Russian Federation,USA,United States of America,1
2014,AFG,Afghanistan,TUR,Turkey,CAN,Canada,11
2014,SYR,Syrian Arab Rep.,TUR,Turkey,FRA,France,9
2014,AFG,Afghanistan,UKR,Ukraine,SWE,Sweden,1
